Chr	gene_name	start	end	exon_list
2	ACP1	264964	277303	[264964-265006, 271865-271938, 272036-272149, 275139-275200, 276979-277084, 277226-277303]
2	ACP1	264964	277303	[264964-265006, 271865-271938, 272191-272304, 275139-275200, 276979-277084, 277226-277303]
2	ACP1	-	-	-
2	TPO	1397187	1525370	[1397187-1397280, 1405823-1405907, 1416216-1416385, 1419030-1419162, 1436472-1436601, 1438854-1439060, 1459864-1460382, 1467374-1467632, 1470599-1470769, 1476580-1476817, 1478767-1478975, 1479373-1479543, 1486726-1486857, 1499661-1499760, 1525199-1525370]
2	TPO	1414408	1542473	[1414408-1414501, 1423044-1423128, 1433437-1433606, 1436251-1436383, 1453693-1453822, 1456075-1456281, 1477085-1477603, 1484595-1484853, 1487820-1487990, 1493801-1494038, 1495988-1496196, 1496594-1496764, 1503947-1504078, 1516882-1516981, 1540593-1540722, 1542420-1542473]
2	TPO	1414408	1542473	[1414408-1414501, 1423044-1423128, 1433437-1433606, 1436251-1436383, 1453693-1453822, 1456075-1456281, 1477085-1477603, 1484595-1484853, 1493801-1494038, 1495988-1496196, 1496594-1496764, 1503947-1504078, 1516882-1516981, 1540593-1540722, 1542420-1542473]
2	TPO	1397187	1525252	[1397187-1397280, 1405823-1405907, 1416216-1416385, 1419030-1419162, 1436472-1436601, 1438854-1439060, 1459864-1460382, 1467374-1467632, 1470599-1470769, 1476580-1476817, 1478767-1478975, 1479373-1479543, 1499661-1499760, 1523372-1523501, 1525199-1525252]
2	TPO	1414408	1542473	[1414408-1414501, 1423044-1423128, 1433437-1433606, 1436251-1436383, 1453693-1453822, 1456075-1456281, 1484595-1484853, 1487820-1487990, 1493801-1494038, 1495988-1496196, 1496594-1496764, 1503947-1504078, 1516882-1516981, 1540593-1540722, 1542420-1542473]
2	RNASEH1	3545784	3558259	[3545784-3545870, 3547930-3548054, 3548639-3548723, 3549057-3549111, 3550372-3550471, 3552143-3552307, 3556788-3556903, 3558132-3558259]
2	RPS7	3575609	3580881	[3575609-3575683, 3575816-3575887, 3576486-3576629, 3577709-3577773, 3580109-3580259, 3580804-3580881]
2	COLEC11	3604340	3644117	[3604340-3604469, 3613310-3613381, 3637532-3637603, 3640277-3640330, 3643443-3643538, 3643726-3644117]
2	COLEC11	3604428	3644117	[3604428-3604469, 3613310-3613381, 3626013-3626091, 3637532-3637603, 3640277-3640330, 3643443-3643538, 3643726-3644117]
2	TSSC1	3189333	3377688	[3189333-3189507, 3192413-3192580, 3193998-3194165, 3196880-3197016, 3214148-3214247, 3257298-3257454, 3338016-3338148, 3354549-3354632, 3377647-3377688]
2	TRAPPC12	3387623	3479460	[3387623-3388669, 3401776-3401892, 3421880-3421993, 3424524-3424662, 3443778-3443890, 3457620-3457692, 3460262-3460335, 3465596-3465694, 3477694-3477794, 3478845-3478932, 3479218-3479460]
2	ADI1	3498962	3519486	[3498962-3499081, 3500813-3500992, 3513856-3513975, 3519367-3519486]
2	SOX11	5692721	5694046	[5692721-5694046]
2	LINC01105	6062654	6063133	[6062654-6063133]
2	RSAD2	6877800	6895941	[6877800-6878145, 6883370-6883531, 6886934-6887163, 6890175-6890324, 6893670-6893702, 6895777-6895941]
2	RNF144A	6996926	7039759	[6996926-6997060, 7014453-7014557, 7014711-7014771, 7020472-7020679, 7024368-7024515, 7030125-7030214, 7039628-7039759]
2	LINC00299	8354727	8382212	[8354727-8354813, 8357256-8357373, 8370306-8370429, 8382122-8382212]
2	ID2	8682165	8682898	[8682165-8682512, 8682842-8682898]
2	MBOAT2	8858678	9003613	[8858678-8858903, 8860612-8860763, 8862589-8862721, 8864169-8864233, 8868445-8868548, 8873107-8873299, 8877029-8877212, 8882510-8882564, 8888017-8888072, 8908620-8908715, 8943186-8943263, 8958496-8958641, 9003539-9003613]
2	ASAP2	9207104	9403326	[9207104-9207229, 9279316-9279388, 9297299-9297444, 9318523-9318597, 9320287-9320336, 9323120-9323249, 9327825-9327910, 9334737-9334812, 9335092-9335178, 9344531-9344634, 9344730-9344799, 9350807-9350894, 9356046-9356094, 9356178-9356344, 9358755-9358888, 9368424-9368518, 9374754-9374943, 9376907-9376992, 9378943-9379058, 9380740-9380807, 9385244-9385357, 9388293-9388545, 9391061-9391195, 9393481-9393646, 9400022-9400071, 9400741-9400829, 9401273-9401395, 9403252-9403326]
2	ITGB1BP1	9406833	9418696	[9406833-9406904, 9407448-9407597, 9408112-9408204, 9412268-9412404, 9414177-9414255, 9418625-9418696]
2	ITGB1BP1	9406833	9418696	[9406833-9406904, 9408112-9408204, 9412268-9412404, 9414177-9414255, 9418625-9418696]
2	CPSF3	9423773	9473016	[9423773-9423822, 9428764-9428827, 9429922-9430019, 9430751-9430879, 9432510-9432687, 9433870-9433959, 9436210-9436360, 9440490-9440665, 9441817-9441975, 9443514-9443660, 9448197-9448349, 9452912-9453020, 9455658-9455756, 9456932-9457026, 9459530-9459617, 9467706-9467775, 9471342-9471438, 9472915-9473016]
2	ADAM17	9490176	9555604	[9490176-9490517, 9491100-9491150, 9492897-9492985, 9493746-9493824, 9494636-9494766, 9497113-9497247, 9502172-9502275, 9505165-9505364, 9509978-9510130, 9517900-9517988, 9518102-9518246, 9521202-9521315, 9523248-9523337, 9526110-9526243, 9527785-9527953, 9535833-9535921, 9536697-9536827, 9543152-9543284, 9555508-9555604]
2	YWHAQ	9585285	9630451	[9585285-9585344, 9587413-9587508, 9588164-9588327, 9591391-9591514, 9630158-9630451]
2	LOC400943	10061077	10061364	[10061077-10061364]
2	KLF11	10043716	10052506	[10043716-10043757, 10046149-10046418, 10047649-10048594, 10052226-10052506]
2	RRM2	10122798	10129385	[10122798-10122896, 10122982-10123056, 10123386-10123529, 10123735-10123851, 10124716-10124849, 10126874-10126968, 10127086-10127219, 10128847-10128951, 10129040-10129153, 10129233-10129385]
2	C2orf48	10141882	10210596	[10141882-10141953, 10142254-10142374, 10210310-10210596]
2	HPCAL1	10419757	10426820	[10419757-10420134, 10422982-10423087, 10426723-10426820]
2	ODC1	10440723	10445031	[10440723-10440867, 10441508-10441722, 10441816-10441928, 10442011-10442173, 10443229-10443312, 10443489-10443570, 10443701-10443835, 10444094-10444266, 10444473-10444646, 10444930-10445031]
