geneName	expPai2
A1BG	2.0655066872829075E-7
A1CF	3.658233010245511E-8
A2M	1.5830985095141812E-7
A2ML1	0.0025767320355144607
A3GALT2	3.49838282102183E-4
A4GALT	1.7713600170767415E-8
A4GNT	5.865454037044469E-6
AAAS	7.018097149668713E-7
AACS	1.0471697699811421E-7
AADAC	2.01790928398756E-8
AADACL2	5.152997572979339E-7
AADACL3	7.322506377272943E-7
AADACL4	1.001922547148561E-7
AADAT	1.0896376110071932E-9
AAED1	2.1124026633516075E-6
AAGAB	2.3836940402249913E-8
AAK1	4.912684333093919E-9
AAMDC	1.5662283030231332E-7
AAMP	9.363792953919812E-8
AANAT	4.775872926440434E-9
AAR2	5.758751419983646E-7
AARD	1.0426101234359572E-6
AARS	1.0004590454779541E-7
AARS2	1.6435147406720189E-7
AARSD1	9.147233580850735E-7
AASDH	8.92953771719205E-4
AASDHPPT	3.0684685980789014E-8
AASS	4.63265638182736E-8
AATF	2.711708559038373E-7
AATK	8.898406209734149E-8
ABAT	1.5353206302696403E-8
ABCA1	8.324215802615168E-8
ABCA10	0.06366671500745522
ABCA12	2.1495827574044505E-7
ABCA13	3.843546383350623E-5
ABCA2	1.5701385823375588E-8
ABCA3	5.73593072312933E-8
ABCA4	2.1509805653391015E-6
ABCA5	1.0536901061105635E-6
ABCA6	2.15118302212012E-6
ABCA7	4.548273646045618E-5
ABCA8	6.4708382181255475E-6
ABCA9	7.106974354983016E-6
ABCB1	2.466457343787724E-8
ABCB10	5.0538867591646744E-8
ABCB11	8.352651328512106E-8
ABCB4	3.0155151066549214E-8
ABCB5	5.7228654190521946E-5
ABCB6	1.3389629425330523E-6
ABCB7	1.2701290000000006E-4
ABCB8	3.6744437376988894E-7
ABCB9	3.459585771753452E-8
ABCC1	2.2395032181377762E-8
ABCC10	7.890113617959429E-7
ABCC11	9.866557258069967E-6
ABCC12	0.0014472702780970663
ABCC2	1.7458248399532135E-6
ABCC3	2.1741002846543417E-6
ABCC4	2.3860328452231824E-7
ABCC5	3.891732938956683E-5
ABCC6	6.631084963940173E-6
ABCC8	3.6513561805117994E-7
ABCC9	1.083356863495008E-6
ABCD1	0.0
ABCD2	1.1647812848113559E-8
ABCD3	2.2295575068723455E-9
ABCD4	4.4553300290153466E-4
ABCE1	0.0
ABCF1	0.5298928014747982
ABCF2	1.1198111971907466E-9
ABCF3	2.4782617698449195E-8
ABCG1	7.00051116233722E-9
ABCG2	2.4637989606088317E-6
ABCG4	4.306907319137052E-8
ABCG5	3.1821840613869285E-7
ABCG8	2.6362220971694916E-6
ABHD1	8.298017798768015E-7
ABHD10	1.1650819513780721E-8
ABHD11	2.911880046159071E-8
ABHD12	5.173495294529831E-8
ABHD12B	4.909056123507333E-7
ABHD13	6.847562500003361E-11
ABHD14A	5.729845214403324E-6
ABHD14B	1.0528051451554864E-4
ABHD15	3.2347788869903964E-5
ABHD16A	1.0621207993719284E-8
ABHD16B	1.2031715223889539E-4
ABHD17A	8.926689167370605E-9
ABHD17B	3.0940545289341106E-9
ABHD17C	1.6307289999987957E-10
ABHD2	4.3868757622341245E-9
ABHD3	1.654139245782719E-7
ABHD4	1.1747403746551547E-6
ABHD5	4.644695261710989E-8
ABHD6	2.4898066757103437E-9
ABHD8	4.672193852947158E-8
ABI1	1.1080632817372606E-9
ABI2	3.20657796205633E-10
ABI3	5.1011166511417496E-9
ABI3BP	2.5288062741404894E-7
ABL1	0.0
ABL2	3.3270046177873164E-7
ABLIM1	5.269603276696104E-8
ABLIM2	2.422360301590532E-8
ABLIM3	6.810113253408625E-9
ABR	6.149802336641625E-10
ABRA	8.336024814762984E-8
ABRACL	6.859152400043235E-11
ABT1	1.654886099055192E-8
ABTB1	2.4215667247272047E-5
ABTB2	8.585374149916676E-9
ACAA1	1.4065034538571886E-7
ACAA2	1.4394982506487083E-7
ACACA	5.521462765026606E-9
ACACB	1.2361622577392583E-6
ACAD10	4.980085307432129E-6
ACAD11	7.620993918451612E-4
ACAD8	3.738744705124475E-8
ACAD9	1.6688717156645072E-8
ACADL	6.164812237203839E-6
ACADM	3.3929810540742696E-7
ACADS	2.0535257372542697E-8
ACADSB	3.063344147562172E-7
ACADVL	7.099440718791946E-8
ACAN	2.593347432366868E-9
ACAP1	4.705657329920403E-8
ACAP2	6.786464400081164E-11
ACAP3	8.561432614388015E-8
ACAT1	1.367980953329741E-8
ACAT2	1.3535875854083017E-8
ACBD3	1.0287892577749874E-7
ACBD4	1.1270443035265355E-7
ACBD5	9.848364366348253E-9
ACBD6	3.385698166214618E-9
ACBD7	6.789759999987966E-11
ACCS	4.065917311473134E-8
ACCSL	1.71556323619145E-7
ACD	1.144455502986357E-7
ACE	1.0524545795733773E-6
ACE2	1.36422399999028E-10
ACER1	1.3125743762144646E-8
ACER2	8.150460285954478E-9
ACER3	2.476871386857111E-9
ACHE	1.4527012068353698E-8
ACIN1	3.326258679780011E-5
ACKR2	2.0301397654186003E-6
ACKR3	6.784816899944846E-11
ACKR4	7.38320539175873E-8
ACLY	3.1935921408733506E-7
ACMSD	5.7499059735062874E-8
ACN9	3.3626889325051654E-9
ACO1	2.802336380088759E-7
ACO2	1.779936041323019E-9
ACOT1	3.2898635593673837E-6
ACOT11	1.4226081789874504E-6
ACOT12	4.4639134965913217E-7
ACOT13	3.3924737851573844E-6
ACOT2	6.226553530312169E-7
ACOT4	2.938568077153605E-6
ACOT6	4.247587927455747E-8
ACOT7	5.9284511765356985E-9
ACOT8	7.480815545326979E-4
ACOT9	7.958968058227181E-8
ACOX1	3.5199758268205247E-7
ACOX2	6.40632954849186E-6
ACOX3	9.750304292101977E-7
ACOXL	2.7328483010695303E-5
ACP1	1.3453638641164966E-8
ACP2	5.249235330534233E-8
ACP5	4.445190480072834E-9
ACP6	1.1865114792244593E-6
ACPL2	0.0
ACPP	2.2316706295057786E-8
ACPT	9.348829502887901E-8
ACR	1.0587328956397647E-8
ACRBP	3.456499967639496E-7
ACRC	0.0
ACRV1	4.243437412171259E-8
ACSBG1	7.968497224758657E-8
ACSBG2	1.355752691204863E-6
ACSF2	1.9913324375487E-8
ACSF3	2.9921346443030974E-7
ACSL1	8.33884520855813E-9
ACSL3	1.0882471955107965E-9
ACSL4	0.0
ACSL5	2.996659178278181E-8
ACSL6	7.697002101904283E-8
ACSM1	0.192956008946102
ACSM2A	8.841681692884619E-4
