CHROM	POS	AC	AN	PolyPhen	LoF_flags	LoF	AF
2	179391739	1	120814	NA	NA	NA	8.277186418792524E-6
2	179391739	1	120814	NA	NA	NA	8.277186418792524E-6
2	179391749	1	120824	NA	NA	NA	8.276501357346223E-6
2	179391749	1	120824	benign(0.238)	NA	NA	8.276501357346223E-6
2	179391750	1	120824	NA	NA	NA	8.276501357346223E-6
2	179391750	1	120824	NA	NA	LC	8.276501357346223E-6
2	179391754	70	120828	NA	NA	NA	5.79335915516271E-4
2	179391754	70	120828	NA	NA	NA	5.79335915516271E-4
2	179391755	1	120828	NA	NA	NA	8.276227364518158E-6
2	179391755	1	120828	benign(0.0)	NA	NA	8.276227364518158E-6
2	179391768	2	120842	NA	NA	NA	1.6550537064927757E-5
2	179391768	2	120842	possibly_damaging(0.803)	NA	NA	1.6550537064927757E-5
2	179391795	1	120860	NA	NA	NA	8.274036074797286E-6
2	179391795	1	120860	benign(0.0)	NA	NA	8.274036074797286E-6
2	179391800	5	120862	NA	NA	NA	4.1369495788585326E-5
2	179391800	5	120862	benign(0.002)	NA	NA	4.1369495788585326E-5
2	179391806	2	120872	NA	NA	NA	1.6546429280561253E-5
2	179391806	2	120872	possibly_damaging(0.728)	NA	NA	1.6546429280561253E-5
2	179391806	1	120872	NA	NA	NA	8.273214640280627E-6
2	179391806	1	120872	possibly_damaging(0.621)	NA	NA	8.273214640280627E-6
2	179391814	1	120878	NA	NA	NA	8.272803984182399E-6
2	179391814	1	120878	NA	NA	NA	8.272803984182399E-6
2	179391814	1	120878	NA	NA	NA	8.272803984182399E-6
2	179391815	2	120878	NA	NA	NA	1.6545607968364798E-5
2	179391815	2	120878	probably_damaging(0.982)	NA	NA	1.6545607968364798E-5
2	179391815	2	120878	NA	NA	NA	1.6545607968364798E-5
2	179391818	1	120882	NA	NA	NA	8.272530236098013E-6
2	179391818	1	120882	probably_damaging(0.982)	NA	NA	8.272530236098013E-6
2	179391818	1	120882	NA	NA	NA	8.272530236098013E-6
2	179391819	1	120882	NA	NA	NA	8.272530236098013E-6
2	179391819	1	120882	probably_damaging(0.959)	NA	NA	8.272530236098013E-6
2	179391819	1	120882	NA	NA	NA	8.272530236098013E-6
2	179391825	1	120880	NA	NA	NA	8.27266710787558E-6
2	179391825	1	120880	NA	NA	LC	8.27266710787558E-6
2	179391834	2	120884	NA	NA	NA	1.654478673769895E-5
2	179391834	2	120884	benign(0.442)	NA	NA	1.654478673769895E-5
2	179391835	2	120890	NA	NA	NA	1.6543965588551577E-5
2	179391835	2	120890	NA	NA	NA	1.6543965588551577E-5
2	179391841	1	120894	NA	NA	NA	8.271709100534353E-6
2	179391841	1	120894	NA	NA	NA	8.271709100534353E-6
2	179391844	2	120890	NA	NA	NA	1.6543965588551577E-5
2	179391844	2	120890	NA	NA	NA	1.6543965588551577E-5
2	179391851	3	120886	NA	NA	NA	2.4816769518389227E-5
2	179391851	3	120886	possibly_damaging(0.728)	NA	NA	2.4816769518389227E-5
2	179391862	5	120884	NA	NA	NA	4.1361966844247376E-5
2	179391862	5	120884	possibly_damaging(0.739)	NA	NA	4.1361966844247376E-5
2	179391875	1	120880	NA	NA	NA	8.27266710787558E-6
2	179391875	1	120880	benign(0.0)	NA	NA	8.27266710787558E-6
2	179391883	3	120872	NA	NA	NA	2.4819643920841883E-5
2	179391883	3	120872	NA	NA	NA	2.4819643920841883E-5
2	179391889	2	120872	NA	NA	NA	1.6546429280561253E-5
2	179391889	2	120872	NA	NA	NA	1.6546429280561253E-5
2	179391894	3	120876	NA	NA	NA	2.481882259505609E-5
2	179391894	3	120876	benign(0.0)	NA	NA	2.481882259505609E-5
2	179391899	3	120876	NA	NA	NA	2.481882259505609E-5
2	179391899	3	120876	benign(0.004)	NA	NA	2.481882259505609E-5
2	179391921	1	120852	NA	NA	NA	8.274583788435442E-6
2	179391921	1	120852	benign(0.0)	NA	NA	8.274583788435442E-6
2	179391923	3	120850	NA	NA	NA	2.482416218452627E-5
2	179391923	3	120850	NA	NA	NA	2.482416218452627E-5
2	179391929	3	120844	NA	NA	NA	2.482539472377611E-5
2	179391929	3	120844	benign(0.001)	NA	NA	2.482539472377611E-5
2	179391932	1	120840	NA	NA	NA	8.27540549486925E-6
2	179391932	1	120840	benign(0.001)	NA	NA	8.27540549486925E-6
2	179391932	3	120840	NA	NA	NA	2.4826216484607746E-5
2	179391932	3	120840	benign(0.004)	NA	NA	2.4826216484607746E-5
2	179391935	3	120840	NA	NA	NA	2.4826216484607746E-5
2	179391935	3	120840	NA	NA	NA	2.4826216484607746E-5
2	179391936	1	120838	NA	NA	NA	8.275542461808372E-6
2	179391936	1	120838	benign(0.0)	NA	NA	8.275542461808372E-6
