Chr	allele_count	position	PolyPhen
2	1	179610314	N/A
2	1	179610314	N/A
2	1	179610317	N/A
2	1	179610317	N/A
2	1	179610322	N/A
2	1	179610322	benign
2	1	179610324	N/A
2	1	179610324	N/A
2	1	179610331	N/A
2	1	179610331	possibly
2	4	179610337	N/A
2	4	179610337	benign
2	1	179610340	N/A
2	1	179610340	benign
2	1	179610348	N/A
2	1	179610348	N/A
2	1	179610349	N/A
2	1	179610349	possibly
2	1	179610350	N/A
2	1	179610350	N/A
2	3	179610350	N/A
2	3	179610350	N/A
2	1	179610351	N/A
2	1	179610351	N/A
2	1	179610359	N/A
2	1	179610359	probably
2	2	179610367	N/A
2	2	179610367	benign
2	1	179610368	N/A
2	1	179610368	benign
2	5	179610370	N/A
2	5	179610370	possibly
2	1	179610374	N/A
2	1	179610374	possibly
2	23	179610376	N/A
2	23	179610376	possibly
2	1	179610377	N/A
2	1	179610377	benign
2	1	179610383	N/A
2	1	179610383	N/A
2	1	179610394	N/A
2	1	179610394	benign
2	1	179610396	N/A
2	1	179610396	N/A
2	2	179610403	N/A
2	2	179610403	benign
2	1	179610409	N/A
2	1	179610409	possibly
2	1	179610433	N/A
2	1	179610433	benign
2	5	179610434	N/A
2	5	179610434	possibly
2	1	179610448	N/A
2	1	179610448	benign
2	1	179610454	N/A
2	1	179610454	possibly
2	1	179610470	N/A
2	1	179610470	N/A
2	1	179610475	N/A
2	1	179610475	benign
2	370	179610477	N/A
2	370	179610477	N/A
2	1	179610495	N/A
2	1	179610495	N/A
2	3	179610496	N/A
2	3	179610496	possibly
2	1	179610509	N/A
2	1	179610509	probably
2	1	179610511	N/A
2	1	179610511	probably
2	25	179610514	N/A
2	25	179610514	probably
2	5	179610515	N/A
2	5	179610515	probably
2	2	179610525	N/A
2	2	179610525	N/A
2	6	179610545	N/A
2	6	179610545	probably
2	2	179610548	N/A
2	2	179610548	benign
2	1	179610556	N/A
2	1	179610556	benign
2	1	179610569	N/A
2	1	179610569	N/A
2	1	179610572	N/A
2	1	179610572	N/A
2	2	179610575	N/A
2	2	179610575	benign
2	2	179610579	N/A
2	2	179610579	N/A
2	1	179610583	N/A
2	1	179610583	N/A
2	1	179610597	N/A
2	1	179610597	N/A
2	1	179610599	N/A
2	1	179610599	benign
2	2	179610603	N/A
2	2	179610603	N/A
2	1	179610606	N/A
2	1	179610606	possibly
2	1	179610608	N/A
2	1	179610608	probably
2	4	179610611	N/A
2	4	179610611	N/A
2	1	179610616	N/A
2	1	179610616	possibly
2	244	179610619	N/A
2	244	179610619	benign
2	1	179610623	N/A
2	1	179610623	possibly
2	1	179610624	N/A
2	1	179610624	N/A
2	1	179610628	N/A
2	1	179610628	probably
2	1	179610633	N/A
2	1	179610633	benign
2	9	179610639	N/A
2	9	179610639	probably
2	2	179610643	N/A
2	2	179610643	benign
2	1	179610648	N/A
2	1	179610648	N/A
2	3	179610656	N/A
2	3	179610656	benign
2	3	179610663	N/A
2	3	179610663	probably
2	2	179610684	N/A
2	2	179610684	benign
2	5	179610688	N/A
2	5	179610688	benign
2	1	179610691	N/A
2	1	179610691	benign
2	1	179610692	N/A
2	1	179610692	benign
2	1	179610692	N/A
2	1	179610692	benign
2	1372	179610695	N/A
2	1372	179610695	benign
2	1	179610695	N/A
2	1	179610695	benign
2	2	179610709	N/A
2	2	179610709	benign
2	2	179610710	N/A
2	2	179610710	benign
2	3	179610726	N/A
2	3	179610726	N/A
2	2	179610733	N/A
2	2	179610733	probably
2	1	179610750	N/A
2	1	179610750	N/A
2	1	179610757	N/A
2	1	179610757	probably
2	1	179610761	N/A
2	1	179610761	benign
2	1	179610763	N/A
2	1	179610763	probably
2	1	179610767	N/A
2	1	179610767	probably
2	1	179610779	N/A
2	1	179610779	benign
2	3	179610785	N/A
2	3	179610785	benign
2	2	179610796	N/A
2	2	179610796	benign
2	1	179610798	N/A
2	1	179610798	N/A
2	39	179610799	N/A
2	39	179610799	benign
2	7	179610801	N/A
2	7	179610801	N/A
2	8	179610805	N/A
2	8	179610805	benign
2	4	179610806	N/A
2	4	179610806	N/A
2	1	179610806	N/A
2	1	179610806	N/A
2	1	179610816	N/A
2	1	179610816	N/A
2	2	179610824	N/A
2	2	179610824	benign
2	2	179610836	N/A
2	2	179610836	benign
2	4	179610837	N/A
2	4	179610837	N/A
2	1	179610838	N/A
2	1	179610838	benign
2	1	179610839	N/A
2	1	179610839	benign
2	1	179610841	N/A
2	1	179610841	benign
2	9	179610845	N/A
2	9	179610845	possibly
2	4	179610846	N/A
2	4	179610846	N/A
2	1	179610846	N/A
2	1	179610846	N/A
2	1	179610854	N/A
2	1	179610854	benign
2	2	179610857	N/A
2	2	179610857	benign
2	1	179610860	N/A
2	1	179610860	probably
2	1	179610863	N/A
2	1	179610863	probably
2	10	179610871	N/A
2	10	179610871	benign
2	14	179610875	N/A
2	14	179610875	benign
2	3	179610879	N/A
2	3	179610879	N/A
2	6	179610881	N/A
2	6	179610881	probably
2	12	179610884	N/A
2	12	179610884	probably
2	1	179610886	N/A
2	1	179610886	probably
2	1	179610896	N/A
2	1	179610896	benign
2	3	179610899	N/A
2	3	179610899	benign
2	1	179610899	N/A
2	1	179610899	N/A
2	3	179610900	N/A
2	3	179610900	N/A
2	56	179610906	N/A
2	56	179610906	N/A
2	1	179610907	N/A
2	1	179610907	probably
2	3	179610909	N/A
2	3	179610909	N/A
2	1	179610920	N/A
2	1	179610920	benign
2	1	179610930	N/A
2	1	179610930	N/A
2	1	179610956	N/A
2	1	179610956	benign
2	353	179610967	N/A
2	353	179610967	probably
2	1	179610976	N/A
2	1	179610976	benign
2	1	179610980	N/A
2	1	179610980	benign
2	4	179610981	N/A
2	4	179610981	N/A
2	55	179610985	N/A
2	55	179610985	probably
2	3	179610985	N/A
2	3	179610985	probably
2	1	179610986	N/A
2	1	179610986	probably
2	1	179610987	N/A
2	1	179610987	N/A
2	2	179610989	N/A
2	2	179610989	probably
2	1	179610991	N/A
2	1	179610991	probably
2	4	179610992	N/A
2	4	179610992	probably
2	1	179611022	N/A
2	1	179611022	N/A
2	1	179611025	N/A
2	1	179611025	N/A
2	1	179611029	N/A
2	1	179611029	N/A
2	2	179611029	N/A
2	2	179611029	benign
2	2	179611038	N/A
2	2	179611038	benign
2	7	179611042	N/A
2	7	179611042	N/A
2	15	179611052	N/A
2	15	179611052	benign
2	1	179611053	N/A
2	1	179611053	N/A
2	11	179611064	N/A
2	11	179611064	benign
2	3	179611072	N/A
2	3	179611072	benign
2	1	179611077	N/A
2	1	179611077	N/A
2	3	179611081	N/A
2	3	179611081	possibly
2	1	179611083	N/A
2	1	179611083	probably
2	1	179611084	N/A
2	1	179611084	probably
2	2	179611096	N/A
2	2	179611096	benign
2	2	179611100	N/A
2	2	179611100	probably
2	1	179611105	N/A
2	1	179611105	probably
2	29	179611107	N/A
2	29	179611107	N/A
2	1	179611108	N/A
2	1	179611108	probably
2	2	179611110	N/A
2	2	179611110	N/A
2	13	179611111	N/A
2	13	179611111	probably
2	3	179611115	N/A
2	3	179611115	benign
2	2	179611125	N/A
2	2	179611125	N/A
2	491	179611126	N/A
2	491	179611126	probably
2	3	179611133	N/A
2	3	179611133	benign
2	1	179611143	N/A
2	1	179611143	N/A
2	92	179611146	N/A
2	92	179611146	N/A
2	30	179611156	N/A
2	30	179611156	probably
2	1	179611157	N/A
2	1	179611157	N/A
2	1	179611165	N/A
2	1	179611165	probably
2	3	179611166	N/A
2	3	179611166	probably
2	1	179611167	N/A
2	1	179611167	probably
2	4	179611167	N/A
2	4	179611167	N/A
2	1	179611170	N/A
2	1	179611170	N/A
2	1	179611175	N/A
2	1	179611175	probably
2	1	179611176	N/A
2	1	179611176	N/A
2	2	179611182	N/A
2	2	179611182	N/A
2	8	179611201	N/A
2	8	179611201	probably
2	1	179611206	N/A
2	1	179611206	N/A
2	1	179611208	N/A
2	1	179611208	N/A
2	1	179611220	N/A
2	1	179611220	probably
2	1	179611221	N/A
2	1	179611221	N/A
2	1	179611242	N/A
2	1	179611242	N/A
2	1	179611245	N/A
2	1	179611245	probably
2	1	179611247	N/A
2	1	179611247	probably
2	1	179611263	N/A
2	1	179611263	probably
2	2	179611267	N/A
2	2	179611267	benign
2	1	179611271	N/A
2	1	179611271	benign
2	1	179611272	N/A
2	1	179611272	N/A
2	1	179611279	N/A
2	1	179611279	benign
2	5	179611281	N/A
2	5	179611281	N/A
2	2	179611283	N/A
2	2	179611283	N/A
2	2	179611287	N/A
2	2	179611287	N/A
2	4	179611290	N/A
2	4	179611290	N/A
2	4	179611292	N/A
2	4	179611292	possibly
2	1	179611306	N/A
2	1	179611306	possibly
2	2	179611312	N/A
2	2	179611312	benign
2	1	179611313	N/A
2	1	179611313	benign
2	2	179611325	N/A
2	2	179611325	probably
2	4	179611340	N/A
2	4	179611340	probably
2	8	179611345	N/A
2	8	179611345	probably
2	9	179611349	N/A
2	9	179611349	probably
2	1	179611355	N/A
2	1	179611355	probably
2	1	179611356	N/A
2	1	179611356	N/A
2	8	179611357	N/A
2	8	179611357	probably
2	13	179611359	N/A
2	13	179611359	probably
2	1	179611363	N/A
2	1	179611363	probably
2	2	179611372	N/A
2	2	179611372	benign
2	1	179611379	N/A
2	1	179611379	benign
2	1	179611383	N/A
2	1	179611383	N/A
2	1	179611384	N/A
2	1	179611384	benign
2	1	179611391	N/A
2	1	179611391	N/A
2	1	179611393	N/A
2	1	179611393	benign
2	2	179611394	N/A
2	2	179611394	benign
2	3	179611403	N/A
2	3	179611403	probably
2	1	179611414	N/A
2	1	179611414	benign
2	2	179611415	N/A
2	2	179611415	possibly
2	1	179611418	N/A
2	1	179611418	possibly
2	2	179611444	N/A
2	2	179611444	probably
2	3	179611445	N/A
2	3	179611445	probably
2	1	179611449	N/A
2	1	179611449	probably
2	1	179611451	N/A
2	1	179611451	probably
2	1	179611451	N/A
2	1	179611451	probably
2	3	179611457	N/A
2	3	179611457	probably
2	2	179611474	N/A
2	2	179611474	benign
2	9	179611477	N/A
2	9	179611477	probably
2	1	179611482	N/A
2	1	179611482	N/A
2	1	179611493	N/A
2	1	179611493	probably
2	1	179611496	N/A
2	1	179611496	probably
2	2	179611510	N/A
2	2	179611510	probably
2	6	179611516	N/A
2	6	179611516	possibly
2	6	179611519	N/A
2	6	179611519	probably
2	1	179611526	N/A
2	1	179611526	probably
2	1	179611529	N/A
2	1	179611529	N/A
2	2	179611542	N/A
2	2	179611542	N/A
2	1	179611544	N/A
2	1	179611544	possibly
2	30	179611552	N/A
2	30	179611552	probably
2	1	179611556	N/A
2	1	179611556	benign
2	1	179611559	N/A
2	1	179611559	benign
2	1	179611572	N/A
2	1	179611572	probably
2	1	179611590	N/A
2	1	179611590	probably
2	2	179611593	N/A
2	2	179611593	N/A
2	3	179611598	N/A
2	3	179611598	benign
2	2	179611599	N/A
2	2	179611599	N/A
2	1	179611601	N/A
2	1	179611601	probably
2	1	179611605	N/A
2	1	179611605	possibly
2	2	179611615	N/A
2	2	179611615	possibly
2	1	179611629	N/A
2	1	179611629	N/A
2	20	179611634	N/A
2	20	179611634	possibly
2	5	179611635	N/A
2	5	179611635	N/A
2	17	179611639	N/A
2	17	179611639	benign
2	1	179611646	N/A
2	1	179611646	benign
2	1	179611647	N/A
2	1	179611647	benign
2	1	179611656	N/A
2	1	179611656	N/A
